structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
primary somatosensory cortex,primary somatosensory cortex,Mouse,PM37353897,17,15,neocortex,flash,high,0.9667
spinal motor neurons,spinal motor neurons,Mouse,PM37303816,17,8,non_neocortex,seed_remap,high,1.0
stomach,stomach,Mouse,PM38076894,17,11,other,seed_remap,high,1.0
9M,,,PM41542588,16,1,ambiguous,flash,medium,0.4
AD,anterodorsal thalamic nucleus,Mouse,PM39511453,16,9,non_neocortex,seed_remap,high,1.0
anterior insula,anterior insula,Human,PM32594910,16,9,non_neocortex,pro,high,0.8
BAT,brown adipose tissue,Mouse,PM41577990,16,3,other,seed_remap,high,1.0
BLpc,,Rat,PM40352758,16,1,non_neocortex,seed_remap,high,1.0
BMA,basomedial amygdala,Rat,PM39049824,16,10,non_neocortex,seed_remap,high,1.0
CB,carotid body,Mouse,PM41542588,16,9,other,seed_remap,high,1.0
ChCs,chandelier cells,Mouse,PM38192196,16,4,other,seed_remap,high,1.0
cNTS,caudal nucleus of the solitary tract,Rat,PM38811166,16,9,non_neocortex,seed_remap,high,1.0
EP,entopeduncular nucleus,Mouse,PM33815062,16,10,non_neocortex,seed_remap,high,1.0
FN,fastigial nucleus,Mouse,PM32639229,16,5,non_neocortex,seed_remap,high,1.0
fS1,,Mouse,PM36255325,16,1,neocortex,flash,high,0.9767
LM,lateromedial area,Mouse,PM35082302,16,13,neocortex,flash,high,0.9567
MnR,median raphe,Mouse,PM36855269,16,6,non_neocortex,seed_remap,high,1.0
motor thalamus,motor thalamus,Mouse,PM39809792,16,13,non_neocortex,seed_remap,high,1.0
PiCo,Pico,Mouse,PM39494735,16,2,non_neocortex,seed_remap,high,1.0
septum,septum,Mouse,PM36090658,16,12,non_neocortex,seed_remap,high,1.0
sgACC,subgenual anterior cingulate cortex,Macaque,PM42362380,16,4,non_neocortex,flash,medium,0.9567
substantia nigra,substantia nigra,Mouse,PM34824475,16,15,non_neocortex,seed_remap,high,1.0
ventral hippocampus,ventral hippocampus,Mouse,PM36680772,16,12,non_neocortex,seed_remap,high,1.0
6M,,,PM41542588,15,1,neocortex,flash,high,0.8533
BIC,brachium of the inferior colliculus,Mouse,PM40455405,15,2,other,seed_remap,high,1.0
caudate,caudate nucleus,Macaque,PM36211593,15,10,non_neocortex,seed_remap,high,1.0
contralateral hemisphere,contralateral hemisphere,Mouse,PM37398056,15,11,other,seed_remap,high,1.0
ENT,entorhinal cortex,Mouse,PM41959300,15,10,non_neocortex,seed_keyword,high,1.0
FEF,frontal eye field,Macaque,PM42393312,15,10,neocortex,flash,high,0.9767
fore- and mid-brain regions,,Prairie vole,PM40144636,15,1,other,seed_remap,high,1.0
hCO,human cortical organoid,Human,PM40501703,15,5,other,seed_remap,high,1.0
iSPN,indirect pathway striatal projection neurons,Mouse,PM40718594,15,11,non_neocortex,seed_remap,high,1.0
Kiss1AVPV/PeN,Kiss1-positive neurons in the AVPV/PeN,Mouse,PM34281980,15,1,non_neocortex,seed_remap,high,1.0
left M1,left primary motor cortex,Human,PM35624941,15,7,neocortex,flash,high,1.0
MFG,middle frontal gyrus,Human,PM39103495,15,7,neocortex,flash,high,1.0
nodose ganglion,nodose ganglion,Mouse,PM38383905,15,6,other,seed_remap,high,1.0
OPCs,oligodendrocyte precursor cells,Mouse,PM37813563,15,1,other,seed_remap,high,1.0
parabrachial nucleus,parabrachial nucleus,Mouse,PM41957684,15,12,non_neocortex,seed_remap,high,1.0
PIm,medial inferior pulvinar,Macaque,PM41867795,15,2,non_neocortex,seed_remap,high,1.0
posterior insula,posterior insula,Mouse,PM39273133,15,5,neocortex,flash,high,0.8333
PRh,perirhinal cortex,Mouse,PM42172314,15,12,non_neocortex,seed_keyword,high,1.0
RSPd,dorsal retrosplenial cortex,,PM39814996,15,1,ambiguous,flash,medium,0.6333
Unknown source,,Mouse,PM40346885,15,3,other,seed_remap,high,1.0
vlPFC,ventrolateral prefrontal cortex,Macaque,PM35510840,15,7,neocortex,flash,high,1.0
ALIC,anterior limb of internal capsule,Pig,PM42133082,14,1,other,seed_remap,high,1.0
ALS,anterior lobe segment,Mouse,PM40331673,14,3,non_neocortex,flash,high,0.95
AMY,amygdala,Macaque,PM32677044,14,9,non_neocortex,seed_remap,high,1.0
AUD,auditory cortex,Mouse,PM32795386,14,13,neocortex,flash,high,0.9667
AUDp,primary auditory area,Mouse,PM35312957,14,6,neocortex,flash,high,0.9667
basal ganglia,basal ganglia,Mouse,PM40608009,14,10,non_neocortex,seed_remap,high,1.0
BLT,brain-like tissue,Rat,PM40677920,14,2,other,seed_remap,high,1.0
cerebellar nuclei,cerebellar nuclei,Mouse,PM39170852,14,7,non_neocortex,seed_remap,high,1.0
dHPC,dorsal hippocampus,Mouse,PM37365155,14,7,non_neocortex,seed_remap,high,1.0
DLG,dorsal lateral geniculate nucleus,Mouse,PM34795559,14,2,non_neocortex,seed_remap,high,1.0
dorsolateral striatum,dorsolateral striatum,Mouse,PM41655806,14,11,non_neocortex,seed_remap,high,1.0
dSPNs,direct-pathway spiny projection neurons,Mouse,PM32321828,14,6,other,seed_remap,high,1.0
Gi,gigantocellular reticular nucleus,Mouse,PM33543335,14,13,non_neocortex,seed_remap,high,1.0
IO,inferior olive,Mouse,PM41289407,14,12,non_neocortex,seed_remap,high,1.0
IPN,interpeduncular nucleus,Mouse,PM34146469,14,9,non_neocortex,seed_remap,high,1.0
IRt,intermediate reticular nucleus,Mouse,PM38811166,14,10,non_neocortex,seed_remap,high,1.0
LDT,laterodorsal tegmental nucleus,Mouse,PM35655583,14,5,non_neocortex,seed_remap,high,1.0
LDTg,laterodorsal tegmental nucleus,Mouse,PM38736977,14,9,non_neocortex,seed_remap,high,1.0
lumbar spinal cord,lumbar spinal cord,Mouse,PM41585491,14,14,non_neocortex,seed_remap,high,1.0
MGd,dorsal medial geniculate nucleus,Mouse,PM39829930,14,7,non_neocortex,seed_remap,high,1.0
multiple brain regions,multiple brain regions,Mouse,PM42455384,14,9,other,seed_remap,high,1.0
NTSPNMT,trigeminal subnucleus pars spinalis (NTSPNMT),,PM38887205,14,1,non_neocortex,seed_remap,high,1.0
nucleus accumbens,nucleus accumbens,Mouse,PM41659658,14,14,non_neocortex,seed_remap,high,1.0
nucleus accumbens shell,nucleus accumbens shell,Rat,PM37017888,14,10,non_neocortex,seed_remap,high,1.0
PCRt,parvicellular reticular nucleus,Mouse,PM32370769,14,10,non_neocortex,seed_remap,high,1.0
periaqueductal gray,periaqueductal gray,Mouse,PM38551963,14,13,non_neocortex,seed_remap,high,1.0
PH,posterior hypothalamus,Rat,PM42094401,14,8,non_neocortex,seed_remap,high,1.0
PoAb,,,PM35013368,14,1,ambiguous,flash,medium,0.3667
PoSp,postulated mesocortical PoSp area,,PM42101519,14,1,non_neocortex,seed_keyword,high,1.0
PreS,Presubiculum,Marmoset,PM35860211,14,3,non_neocortex,seed_remap,high,1.0
SON,supraoptic nucleus,Rat,PM36356043,14,11,non_neocortex,seed_remap,high,1.0
SPL,superior parietal lobule,Human,PM41405705,14,6,neocortex,flash,high,0.9767
SSs,secondary somatosensory cortex,Mouse,PM37986757,14,10,neocortex,flash,high,0.9667
STP,,,PM41878825,14,1,ambiguous,flash,medium,0.5333
Thal,thalamus,Human,PM42133082,14,7,non_neocortex,seed_remap,high,1.0
VISl,lateral visual cortex,Mouse,PM41345053,14,3,neocortex,flash,high,0.96
AAC,axon-axon initial segment contacts,Mouse,PM37986757,13,5,other,seed_remap,high,1.0
AVCN,anterior ventral cochlear nucleus,Mouse,PM39829930,13,6,non_neocortex,seed_remap,high,1.0
BPN,basilar pontine nuclei,Mouse,PM37311832,13,3,non_neocortex,seed_remap,high,1.0
CFA,caudal forelimb area,Mouse,PM38551963,13,8,neocortex,flash,high,0.95
Cg,cingulate cortex,Mouse,PM41319286,13,9,ambiguous,flash,medium,0.6667
cochlear nucleus,cochlear nucleus,Mouse,PM40219726,13,9,non_neocortex,seed_remap,high,1.0
CT,central thalamus,marmoset monkey,PM37758474,13,7,non_neocortex,seed_remap,high,1.0
D19,,,PM37461601,13,1,ambiguous,flash,medium,0.3333
D2-MSNs,D2-expressing medium spiny neurons,Mouse,PM33380525,13,2,non_neocortex,seed_remap,high,1.0
dcHPC,dorsal hippocampus,Mouse,PM40204437,13,1,non_neocortex,seed_remap,high,1.0
DP,dorsal peduncular cortex,Mouse,PM40204437,13,9,neocortex,flash,high,0.9167
FrA,frontal area,Mouse,PM36944634,13,3,neocortex,flash,high,0.95
FSI,parvalbumin-immunopositive fast-spiking interneurons,Mouse,PM37366393,13,5,other,seed_remap,high,1.0
ICD,"inferior colliculus, dorsal nucleus",Mouse,PM35514328,13,5,non_neocortex,seed_remap,high,1.0
IOM,"inferior olivary nucleus, medial subnucleus",Macaque,PM38240754,13,3,non_neocortex,seed_remap,high,1.0
LCN,lateral cerebellar nucleus,Mouse,PM36230940,13,3,non_neocortex,seed_remap,high,1.0
LL,lateral lemniscus,Rat,PM37554670,13,4,other,seed_remap,high,1.0
LPGi,lateral paragigantocellular nucleus,Mouse,PM41585491,13,10,non_neocortex,seed_remap,high,1.0
pgACC,perigenual anterior cingulate cortex,Macaque,PM42362380,13,3,non_neocortex,flash,medium,0.7333
piriform cortex,piriform cortex,Mouse,PM38844444,13,10,non_neocortex,seed_keyword,high,1.0
PnO,"pontine reticular nucleus, oral part",Mouse,PM38347200,13,11,non_neocortex,seed_remap,high,1.0
PrSd,postrhinal dorsal,Mouse,PM36583448,13,3,non_neocortex,flash,high,0.95
PT neurons,corticofugal pyramidal tract neurons,Mouse,PM33420090,13,4,other,flash,high,0.95
PuI,ventral intermediate pulvinar,Mouse,PM40832125,13,1,non_neocortex,seed_remap,high,1.0
PY,pyramidal neuronal,Human,PM33281896,13,4,other,seed_remap,high,1.0
pyramidal neurons,pyramidal neurons,Mouse,PM37384802,13,7,other,seed_remap,high,1.0
reticular formation,reticular formation,Mouse,PM32883710,13,12,non_neocortex,seed_remap,high,1.0
RTN,retrotrapezoid nucleus,Mouse,PM36213546,13,6,non_neocortex,seed_remap,high,1.0
SOA,supraoculomotor area,Macaque,PM36438664,13,5,non_neocortex,seed_remap,high,1.0
spinal interneurons,spinal interneurons,Mouse,PM41356801,13,10,non_neocortex,seed_remap,high,1.0
ST,solitary tract,Rat,PM34416255,13,12,other,seed_remap,high,1.0
TG,trigeminal ganglion,Rat,PM41824792,13,7,other,seed_remap,high,1.0
vagal afferents,vagal afferents,Mouse,PM42342191,13,10,other,seed_remap,high,1.0
vHipp,ventral hippocampus,Mouse,PM41022937,13,10,non_neocortex,seed_remap,high,1.0
vM1,ventral primary motor cortex,Mouse,PM38712153,13,6,neocortex,flash,high,0.9667
A2,secondary auditory cortex,Mouse,PM33328909,12,6,neocortex,flash,high,0.9667
AgRP,Agouti-related peptide,Mouse,PM39209992,12,4,other,seed_remap,high,1.0
amygdaloid complex,amygdaloid complex,,PM39805973,12,4,non_neocortex,seed_remap,high,1.0
aPVTCRF,anterior paraventricular thalamus CRF neurons,Rat,PM38454083,12,1,non_neocortex,seed_remap,high,1.0
area 17,area 17,Ferret,PM34611910,12,4,neocortex,flash,high,0.9667
Area 47/12,Area 47/12,Human,PM35347401,12,1,neocortex,flash,high,0.95
bladder,bladder,Mouse,PM30998432,12,6,other,seed_remap,high,1.0
cholinergic neurons,cholinergic neurons,Mouse,PM36902010,12,8,other,seed_remap,high,1.0
CINs,cholinergic interneurons,Mouse,PM41256530,12,5,non_neocortex,seed_remap,high,1.0
colon,colon,Mouse,PM37004577,12,8,other,seed_remap,high,1.0
cortical regions,cortical regions,Mouse,PM39149348,12,10,other,flash,medium,0.7667
CTX,cortex,Mouse,PM41676473,12,7,other,flash,medium,0.7667
dACC,dorsal anterior cingulate cortex,Human,PM39103495,12,7,non_neocortex,flash,medium,0.7167
dentate nucleus,dentate nucleus,Human,PM35587596,12,8,non_neocortex,seed_remap,high,1.0
ECT,ectorhinal cortex,Mouse,PM38736977,12,10,non_neocortex,flash,high,0.9167
FG injection site,,,PM39170852,12,2,other,seed_remap,high,1.0
gastrocnemius muscle,gastrocnemius muscle,Rat,PM38358538,12,3,other,seed_remap,high,1.0
heart,heart,Rat,PM36413525,12,6,other,seed_remap,high,1.0
hThO ExN,thalamic glutamatergic neurons,Human,PM39018245,12,2,non_neocortex,seed_remap,high,1.0
infralimbic cortex,infralimbic cortex,Rat,PM41362369,12,8,neocortex,flash,medium,0.8833
internal capsule,internal capsule,Mouse,PM42401396,12,8,other,seed_remap,high,1.0
intralaminar thalamic nuclei,intralaminar thalamic nuclei,Cat,PM37107982,12,5,non_neocortex,seed_remap,high,1.0
KF,Kölliker-Fuse,Mouse,PM37314062,12,4,non_neocortex,seed_remap,high,1.0
lACA PN,,,PM32619476,12,1,ambiguous,flash,medium,0.55
LD,laterodorsal thalamic nucleus,Mouse,PM39814996,12,8,non_neocortex,seed_remap,high,1.0
lesion,lesion epicenter,Rat,PM41146200,12,2,other,seed_remap,high,1.0
LH orexinergic neurons,lateral hypothalamus orexinergic neurons,,PM40902698,12,1,non_neocortex,seed_remap,high,1.0
LPFC,lateral prefrontal cortex,Human,PM42239197,12,7,neocortex,flash,high,0.9767
LSC,lateral superior colliculus,Mouse,PM37205722,12,2,non_neocortex,seed_remap,high,1.0
MCX,motor cortex,Rat,PM37094762,12,6,neocortex,flash,high,0.9767
mITC,medial interthalamic cluster,Mouse,PM37775310,12,1,non_neocortex,seed_remap,high,1.0
olfactory bulb,olfactory bulb,Mouse,PM41993290,12,10,non_neocortex,seed_remap,high,1.0
PBG,parabigeminal nucleus,Mouse,PM34448209,12,4,non_neocortex,seed_remap,high,1.0
PeRh,perirhinal cortex,,PM42101519,12,1,non_neocortex,seed_keyword,high,1.0
PNs,projection neurons,Mouse,PM32949023,12,3,other,seed_remap,high,1.0
POA,preoptic area,Mouse,PM40202515,12,7,non_neocortex,seed_remap,high,1.0
posterior cingulate cortex,posterior cingulate cortex,Human,PM37244076,12,10,non_neocortex,flash,medium,0.7667
PPN CNs,pedunculopontine nucleus cholinergic neurons,Mouse,PM33177086,12,1,non_neocortex,seed_remap,high,1.0
PPTg,pedunculopontine tegmentum,Mouse,PM34448209,12,7,non_neocortex,seed_remap,high,1.0
pPVT,posterior paraventricular thalamus,Mouse,PM40202515,12,6,non_neocortex,seed_remap,high,1.0
SFO,subfornical organ,Mouse,PM42239334,12,8,non_neocortex,seed_remap,high,1.0
SNpc,substantia nigra pars compacta,Mouse,PM39147260,12,10,non_neocortex,seed_remap,high,1.0
Sp5I,"spinal trigeminal nucleus, interpolaris subdivision",Mouse,PM38289187,12,6,non_neocortex,seed_remap,high,1.0
TS,tail of the striatum,Mouse,PM41108202,12,8,non_neocortex,seed_remap,high,1.0
V4,visual area 4,Macaque,PM38741760,12,10,neocortex,flash,high,0.9767
vagus nerve,vagus nerve,Mouse,PM34509623,12,10,other,seed_remap,high,1.0
VC,visual cortex,Mouse,PM38262418,12,7,neocortex,flash,high,0.9767
ventral tegmental area,ventral tegmental area,Mouse,PM39340562,12,9,non_neocortex,seed_remap,high,1.0
vHC,ventral hippocampus,Mouse,PM32560963,12,6,non_neocortex,seed_remap,high,1.0
vSUBMC4R+,ventral subiculum MC4R-expressing neurons,Mouse,PM36736416,12,1,non_neocortex,seed_remap,high,1.0
6D,,,PM41542588,11,1,ambiguous,flash,medium,0.2667
ADn,anterior dorsal thalamus,Mouse,PM38470232,11,4,non_neocortex,seed_remap,high,1.0
AIV,"agranular insular cortex, ventral part",Rat,PM37152205,11,3,non_neocortex,flash,high,0.8667
area 11,area 11,Human,PM41212268,11,2,neocortex,flash,high,0.96
AudC,auditory cortex,Mouse,PM36824753,11,1,neocortex,flash,high,0.9733
BSTsc,"bed nucleus of the stria terminalis, supracapsular",Mouse,PM36583448,11,1,non_neocortex,seed_remap,high,1.0
Cing,cingulate cortex,,PM42101519,11,1,non_neocortex,flash,medium,0.6833
D1-MSNs,D1-expressing medium spiny neurons,Mouse,PM33380525,11,4,other,seed_remap,high,1.0
dLGN core,dorsal lateral geniculate nucleus core,Mouse,PM33236346,11,1,non_neocortex,seed_remap,high,1.0
dLGN shell,dorsal lateral geniculate nucleus shell,Mouse,PM33236346,11,1,non_neocortex,seed_remap,high,1.0
dorsal subiculum,dorsal subiculum,Rat,PM40579424,11,3,non_neocortex,seed_remap,high,1.0
GCL,granule cell layer,Mouse,PM36902010,11,2,ambiguous,flash,medium,0.6
hand tremor,hand tremor,,PM39592428,11,1,other,seed_remap,high,1.0
hidden source,,,PM33036334,11,1,other,seed_remap,high,1.0
IPL,inferior parietal lobule,Mouse,PM41405705,11,7,neocortex,flash,high,0.9667
L5 SST,,Mouse,PM41246844,11,1,other,flash,medium,0.5333
lOFC,lateral orbitofrontal cortex,Rat,PM41853064,11,4,neocortex,flash,high,0.9667
LPBNTacr1,lateral parabrachial nucleus Tacr1 neurons,Mouse,PM39778623,11,1,non_neocortex,seed_remap,high,1.0
lS2,left secondary somatosensory cortex,,PM33036334,11,1,neocortex,flash,high,0.9667
LSO,lateral superior olive,Mouse,PM42182250,11,9,non_neocortex,seed_remap,high,1.0
LUT afferents,lower urinary tract afferents,Rat,PM34772694,11,1,other,seed_remap,high,1.0
MDTGlut,mediodorsal thalamus glutamatergic,,PM40795854,11,1,non_neocortex,seed_remap,high,1.0
Med,medulla,Mouse,PM34302739,11,7,non_neocortex,seed_remap,high,1.0
motor neurons,motor neurons,Mouse,PM38238800,11,9,other,seed_remap,high,1.0
MS/VDB,medial septum/vertical diagonal band of Broca,Mouse,PM39924777,11,2,non_neocortex,seed_remap,high,1.0
MSN,medium spiny neuron,Mouse,PM41256530,11,6,other,seed_remap,high,1.0
nAmb,nucleus ambiguus,Mouse,PM35705034,11,1,non_neocortex,seed_remap,high,1.0
nodose ganglia,nodose ganglia,Mouse,PM37425814,11,7,other,seed_remap,high,1.0
NOT,nucleus of the optic tract,Mouse,PM42427684,11,5,non_neocortex,seed_remap,high,1.0
nucleus tractus solitarius,nucleus tractus solitarius,Mouse,PM38556265,11,7,non_neocortex,seed_remap,high,1.0
OPN,omnipause neurons,Cat,PM37968118,11,4,non_neocortex,seed_remap,high,1.0
phrenic motoneurons,phrenic motoneurons,Macaque,PM37723869,11,1,non_neocortex,seed_remap,high,1.0
PnC,caudal pontine reticular nucleus,Mouse,PM41720391,11,8,non_neocortex,seed_remap,high,1.0
POR,postrhinal area,Mouse,PM33849948,11,5,non_neocortex,flash,high,0.95
primary visual cortex,primary visual cortex,Mouse,PM35687687,11,8,neocortex,flash,high,0.9833
Pu,putamen,Tree shrew,PM34795566,11,4,non_neocortex,seed_remap,high,1.0
retinal ganglion cells,retinal ganglion cells,Mouse,PM37862028,11,5,other,seed_remap,high,1.0
rIFG,right inferior frontal gyrus,Human,PM38666118,11,3,neocortex,flash,high,0.9833
sciatic nerve,sciatic nerve,Rat,PM37841085,11,4,other,seed_remap,high,1.0
SCPN,subcortical-projecting neurons,Mouse,PM37561632,11,4,other,seed_remap,high,1.0
secondary motor cortex,secondary motor cortex,Rat,PM37353897,11,10,neocortex,flash,high,0.9833
SOd,,,PM41108202,11,1,ambiguous,flash,medium,0.2667
superior frontal gyrus,superior frontal gyrus,Human,PM40535582,11,6,neocortex,flash,high,0.9833
T-stellate cells,T-stellate cells,Mouse,PM34250904,11,4,other,seed_remap,high,1.0
TMN,tuberomammillary nucleus,Mouse,PM40883329,11,8,non_neocortex,seed_remap,high,1.0
V2M,medial secondary visual cortex,Mouse,PM35241493,11,5,neocortex,flash,high,0.9833
vDG,ventral dentate gyrus,Mouse,PM38049707,11,4,non_neocortex,seed_remap,high,1.0
VII,facial nucleus,,PM33598920,11,1,non_neocortex,seed_remap,high,1.0
VO,ventral orbital cortex,Mouse,PM42107475,11,7,neocortex,flash,high,0.9833
zona incerta,zona incerta,Mouse,PM39819496,11,11,non_neocortex,seed_remap,high,1.0
Acb,nucleus accumbens,Mouse,PM42392529,10,10,non_neocortex,seed_remap,high,1.0
area 3b,primary somatosensory cortex (area 3b),Galago,PM41849378,10,3,neocortex,flash,high,0.9833
area 44,area 44,Macaque,PM35510840,10,4,neocortex,flash,high,0.9833
Au1,primary auditory cortex,Mouse,PM41639097,10,5,neocortex,flash,high,0.9833
BST,bed nucleus of the stria terminalis,Mouse,PM39801453,10,8,non_neocortex,seed_remap,high,1.0
callosal neurons,callosal neurons,Mouse,PM35551446,10,2,other,seed_remap,high,1.0
cBNST,caudal bed nucleus of the stria terminalis,,PM39805973,10,1,non_neocortex,seed_remap,high,1.0
CeM,medial division of the central amygdaloid nucleus,Mouse,PM32370769,10,6,non_neocortex,seed_remap,high,1.0
CnF,cuneiform nucleus,Mouse,PM38326327,10,6,non_neocortex,seed_remap,high,1.0
contralateral prostriata,prostriata,Mouse,PM33324173,10,1,non_neocortex,pro,high,0.8833
dDl,,,PM40657851,10,1,ambiguous,flash,medium,0.4667
DH,dorsal horn,Mouse,PM39833283,10,6,non_neocortex,seed_remap,high,1.0
eCb,early cerebellum,Mouse,PM41289407,10,1,non_neocortex,seed_remap,high,1.0
F4,,,PM32639229,10,2,neocortex,flash,high,0.9833
forebrain,forebrain,Mouse,PM41993290,10,9,other,seed_remap,high,1.0
GABAergic neurons,GABAergic neurons,Mouse,PM37609680,10,8,other,seed_remap,high,1.0
grafted striatal neurons,grafted striatal neurons,Human,PM36516880,10,1,other,seed_remap,high,1.0
granule cells,granule cells,Mouse,PM32631938,10,9,other,seed_remap,high,1.0
hES-iNs,,,PM40650995,10,1,other,seed_remap,high,1.0
IFG,inferior frontal gyrus,Human,PM38666118,10,7,neocortex,flash,high,0.9833
IP,interpeduncular nucleus,Mouse,PM34088738,10,3,non_neocortex,seed_remap,high,1.0
IT,intratelencephalic neurons,Mouse,PM35361973,10,4,other,seed_remap,high,1.0
L2/3 PCs,Layer 2/3 pyramidal cells,Mouse,PM35060903,10,2,other,seed_remap,high,1.0
left thalamus,left thalamus,Human,PM34815270,10,8,non_neocortex,seed_remap,high,1.0
LLD,,,PM41108202,10,1,ambiguous,flash,medium,0.4
LO,lateral orbitofrontal cortex,Rat,PM42395549,10,8,neocortex,flash,high,0.9833
LPBNGrpr,lateral parabrachial nucleus Grpr neurons,,PM39778623,10,1,non_neocortex,seed_remap,high,1.0
M1/M2,primary motor and premotor cortex,Mouse,PM33037031,10,7,neocortex,flash,high,0.9667
MC,mossy cells,Mouse,PM33600026,10,5,non_neocortex,seed_remap,high,1.0
MGBv,ventral division of the medial geniculate body,Mouse,PM40686612,10,6,non_neocortex,seed_remap,high,1.0
