record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
110,BF,basal forebrain,Mouse,PM38947053,43,15,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
111,preBötC,pre-Bötzinger complex,Mouse,PM37772793,43,9,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
112,MO,motor cortex,Mouse,PM39392390,42,19,neocortex,flash,high,0.98,"Motor cortex (MO) is a neocortical motor area. | Acronym MO expanded to motor cortex, a primary neocortical area. | Motor cortex is a neocortical region.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Motor cortex (MO) is a neocortical motor area.,"Acronym MO expanded to motor cortex, a primary neocortical area.",Motor cortex is a neocortical region.,,,
113,vCA1,ventral CA1,Mouse,PM33935658,42,14,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
114,midbrain,midbrain,Mouse,PM32561725,41,31,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
115,MVN,medial vestibular nucleus,Mouse,PM39440253,41,6,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
116,NAcc,nucleus accumbens,Mouse,PM39097664,41,22,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
117,prostriata,area prostriata,Rat,PM34795559,41,2,ambiguous,flash,medium,0.7,Prostriata is a small cortical area; unclear if neocortex or mesocortex/allocortex. | Prostriata is a transitional area between neocortex and retrosplenial allocortex; unclear classification. | Prostriata is a six-layered neocortical area in the occipital cortex.,cortical,ambiguous,ambiguous,neocortex,2/3,2-1,,,,,,Prostriata is a small cortical area; unclear if neocortex or mesocortex/allocortex.,Prostriata is a transitional area between neocortex and retrosplenial allocortex; unclear classification.,Prostriata is a six-layered neocortical area in the occipital cortex.,,,
118,presubiculum,presubiculum,Mouse,PM38378961,40,5,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
119,SMA,supplementary motor area,Human,PM34121656,40,29,neocortex,flash,high,0.9833,Supplementary motor area (SMA) is a well-defined neocortical area in frontal lobe. | Supplementary motor area is a well-defined frontal neocortical area. | SMA is a well-defined neocortical motor area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Supplementary motor area (SMA) is a well-defined neocortical area in frontal lobe.,Supplementary motor area is a well-defined frontal neocortical area.,SMA is a well-defined neocortical motor area.,,,
120,DRG,dorsal root ganglion,Mouse,PM40334752,39,20,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
121,PCC,posterior cingulate cortex,Human,PM41840687,39,6,non_neocortex,flash,medium,0.7,"Posterior cingulate cortex is mesocortex, conventionally not classified as neocortex. | Posterior cingulate cortex is mesocortical/limbic, not typical isocortex. | Posterior cingulate is a borderline mesocortical area but often classified as isocortex.",cortical,non_neocortex,non_neocortex,neocortex,2/3,2-1,,,,,,"Posterior cingulate cortex is mesocortex, conventionally not classified as neocortex.","Posterior cingulate cortex is mesocortical/limbic, not typical isocortex.",Posterior cingulate is a borderline mesocortical area but often classified as isocortex.,,,
122,AM,anteromedial thalamic nucleus,Mouse,PM35082302,38,21,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
123,auditory cortex,auditory cortex,Mouse,PM34366798,38,25,neocortex,flash,high,0.9833,Auditory cortex is a primary sensory neocortical area. | Auditory cortex is a primary neocortical area. | Auditory cortex is a classic neocortical sensory area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Auditory cortex is a primary sensory neocortical area.,Auditory cortex is a primary neocortical area.,Auditory cortex is a classic neocortical sensory area.,,,
124,CPu,caudate putamen,Mouse,PM35241803,38,18,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
125,PIL,posterior intralaminar thalamus,Mouse,PM38736977,38,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
126,VISp,primary visual cortex,Mouse,PM39149348,38,13,neocortex,flash,high,0.9833,"Primary visual cortex (VISp) is a neocortical area. | VISp is primary visual cortex, a neocortical area. | Primary visual cortex is part of the neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Primary visual cortex (VISp) is a neocortical area.,"VISp is primary visual cortex, a neocortical area.",Primary visual cortex is part of the neocortex.,,,
127,contralateral cortex,contralateral cortex,Mouse,PM36255325,37,26,other,flash,medium,0.8667,"Contralateral cortex is a vague descriptor, not a specific region. | Contralateral cortex is a vague term for opposite cortex; not specific to neocortex vs allocortex. | Contralateral cortex is a relative descriptor, not a specific brain region.",cortical,other,ambiguous,other,2/3,2-1,,,,,,"Contralateral cortex is a vague descriptor, not a specific region.",Contralateral cortex is a vague term for opposite cortex; not specific to neocortex vs allocortex.,"Contralateral cortex is a relative descriptor, not a specific brain region.",,,
128,LPl,"lateral posterior nucleus, pars lateralis",Rat,PM39170852,37,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
129,SCN,suprachiasmatic nucleus,Mouse,PM34411776,37,23,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
130,dmPFC,dorsomedial prefrontal cortex,Mouse,PM33790281,36,19,neocortex,flash,high,0.9833,"Dorsomedial prefrontal cortex is a subregion of prefrontal neocortex. | dmPFC is dorsomedial prefrontal cortex, a neocortical region. | dmPFC is dorsomedial prefrontal cortex, a neocortical region.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Dorsomedial prefrontal cortex is a subregion of prefrontal neocortex.,"dmPFC is dorsomedial prefrontal cortex, a neocortical region.","dmPFC is dorsomedial prefrontal cortex, a neocortical region.",,,
131,entorhinal cortex,entorhinal cortex,Mouse,PM32656783,36,24,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'entorhinal' → non_neocortex,cortical,,,,,,,,,,,,,,,,
132,insular cortex,insular cortex,Mouse,PM36542188,36,22,neocortex,flash,high,0.85,Insular cortex is a borderline mesocortical area but often classified as neocortex in rodents. | Insular cortex is borderline but commonly considered neocortex in rodent atlases. | Insular cortex is typically considered part of the neocortex (isocortex).,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Insular cortex is a borderline mesocortical area but often classified as neocortex in rodents.,Insular cortex is borderline but commonly considered neocortex in rodent atlases.,Insular cortex is typically considered part of the neocortex (isocortex).,,,
133,red nucleus,red nucleus,Mouse,PM42138352,36,27,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
134,RVLM,rostral ventrolateral medulla,Rat,PM41645569,36,21,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
135,SPNs,striatal projection neurons,Mouse,PM41026142,36,17,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
136,dCA3,dorsal CA3,Mouse,PM34928938,35,4,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
137,MS,medial septum,Mouse,PM42396515,35,26,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
138,PC,Purkinje cell,Mouse,PM36902010,35,23,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
139,aPVT,anterior paraventricular thalamus,Mouse,PM35303367,34,8,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
140,frontal cortex,frontal cortex,Mouse,PM37398221,34,27,neocortex,flash,high,0.9833,Frontal cortex is part of the neocortex. | Frontal cortex is a broad neocortical area. | Frontal cortex is clearly neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Frontal cortex is part of the neocortex.,Frontal cortex is a broad neocortical area.,Frontal cortex is clearly neocortex.,,,
141,precuneus,precuneus,Human,PM39103495,34,13,neocortex,flash,high,0.9833,Precuneus is a region of the parietal neocortex. | Precuneus is part of the parietal neocortex in humans. | Precuneus is part of the parietal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Precuneus is a region of the parietal neocortex.,Precuneus is part of the parietal neocortex in humans.,Precuneus is part of the parietal neocortex.,,,
142,RSP,retrosplenial cortex,Mouse,PM39814996,34,13,neocortex,flash,medium,0.7833,Retrosplenial cortex is a borderline mesocortical area but often considered neocortex in mouse atlases. | Retrosplenial cortex is borderline but often included in isocortex/neocortex. | Retrosplenial cortex (RSP) is a transitional region but often classified as isocortex in mice.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Retrosplenial cortex is a borderline mesocortical area but often considered neocortex in mouse atlases.,Retrosplenial cortex is borderline but often included in isocortex/neocortex.,Retrosplenial cortex (RSP) is a transitional region but often classified as isocortex in mice.,,,
143,MDT,mediodorsal thalamus,Mouse,PM40795854,33,14,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
144,PM,premotor cortex,Mouse,PM39937647,33,19,neocortex,flash,high,0.9833,Premotor cortex is a neocortical region of the frontal lobe. | PM (premotor cortex) is a neocortical motor area. | Premotor cortex (PM) is a neocortical motor area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Premotor cortex is a neocortical region of the frontal lobe.,PM (premotor cortex) is a neocortical motor area.,Premotor cortex (PM) is a neocortical motor area.,,,
145,PT,pyramidal tract neurons,Mouse,PM35361973,33,13,other,flash,medium,0.9333,"Pyramidal tract is a white-matter fiber tract, not gray matter. | Pyramidal tract neurons originate in layer V of motor cortex; thus neocortex. | Pyramidal tract neurons are a cell population, not a gray matter region; white-matter tract.",cortical,other,neocortex,other,2/3,2-1,,,,,,"Pyramidal tract is a white-matter fiber tract, not gray matter.",Pyramidal tract neurons originate in layer V of motor cortex; thus neocortex.,"Pyramidal tract neurons are a cell population, not a gray matter region; white-matter tract.",,,
146,RMTg,rostromedial tegmental nucleus,Rat,PM35733933,33,16,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
147,SPN,striatal projection neurons,Mouse,PM33579707,33,15,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
148,subiculum,subiculum,Mouse,PM35304264,33,22,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
149,aIC,anterior insular cortex,Mouse,PM32940600,32,16,non_neocortex,pro,high,0.8,"Anterior insular cortex is agranular mesocortex, not isocortex. | Anterior insular cortex is agranular/dysgranular mesocortex, not typical isocortex. Classified as non_neocortex per instructions for borderline mesocortical areas. | Anterior insular cortex is mesocortical, not considered typical neocortex.",cortical,non_neocortex,neocortex,ambiguous,1/3,1-1-1,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,"Anterior insular cortex is mesocortical/paralimbic, not typical 6-layered neocortex.",Anterior insular cortex is a paralimbic region but conventionally grouped as neocortex in mice.,Anterior insular cortex is a borderline mesocortical region; uncertain whether neocortex or non_neocortex.,"Anterior insular cortex is agranular mesocortex, not isocortex.","Anterior insular cortex is agranular/dysgranular mesocortex, not typical isocortex. Classified as non_neocortex per instructions for borderline mesocortical areas.","Anterior insular cortex is mesocortical, not considered typical neocortex."
150,VLM,ventrolateral medulla,Mouse,PM39647176,32,7,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
151,DR,dorsal raphe,Mouse,PM41232063,31,20,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
152,temporal lobe,temporal lobe,Human,PM34849596,31,14,other,flash,high,0.9667,"Temporal lobe includes both neocortex and allocortex (e.g., hippocampus). | Temporal lobe contains both neocortical and allocortical structures; too broad. | Temporal lobe contains both neocortex and allocortex; multi-region compound.",cortical,other,other,other,3/3,3-0,,,,,,"Temporal lobe includes both neocortex and allocortex (e.g., hippocampus).",Temporal lobe contains both neocortical and allocortical structures; too broad.,Temporal lobe contains both neocortex and allocortex; multi-region compound.,,,
153,TSC,torus semicircularis pars centralis,,PM41108202,31,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
154,V2,secondary visual cortex,Rat,PM32361987,31,19,neocortex,flash,high,0.9833,Secondary visual cortex is a classic neocortical area. | V2 is a neocortical visual area. | Secondary visual cortex (V2) is clearly neocortical.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Secondary visual cortex is a classic neocortical area.,V2 is a neocortical visual area.,Secondary visual cortex (V2) is clearly neocortical.,,,
155,vSUB,ventral subiculum,Mouse,PM36736416,31,17,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
156,DMH,dorsomedial hypothalamus,Mouse,PM32770006,30,19,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
157,Gr,gracile nucleus,Mouse,PM40202848,30,4,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
158,motoneurons,motoneurons,Mouse,PM39656589,30,18,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
159,retrosplenial cortex,retrosplenial cortex,Mouse,PM32964131,30,24,ambiguous,flash,medium,0.6,"Retrosplenial cortex is mesocortical/limbic, borderline but typically non-neocortex. | Retrosplenial cortex is a mesocortical region; conventional usage varies between neocortex and non_neocortex. | Retrosplenial cortex is a borderline cingulate area; unclear if neocortex or mesocortex.",cortical,non_neocortex,ambiguous,ambiguous,2/3,2-1,,,,,,"Retrosplenial cortex is mesocortical/limbic, borderline but typically non-neocortex.",Retrosplenial cortex is a mesocortical region; conventional usage varies between neocortex and non_neocortex.,Retrosplenial cortex is a borderline cingulate area; unclear if neocortex or mesocortex.,,,
160,AL,anterolateral area,Mouse,PM35082302,29,10,neocortex,flash,medium,0.75,AL (anterolateral area) in mouse is a neocortical visual area. | Anterolateral area in mouse is commonly a neocortical visual area. | Anterolateral area (AL) is a neocortical cortical area.,ambiguous,neocortex,neocortex,neocortex,3/3,3-0,,,,,,AL (anterolateral area) in mouse is a neocortical visual area.,Anterolateral area in mouse is commonly a neocortical visual area.,Anterolateral area (AL) is a neocortical cortical area.,,,
161,basal forebrain,basal forebrain,Mouse,PM36842481,29,18,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
162,CC,corpus callosum,Mouse,PM41893879,29,11,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
163,DMV,dorsal motor nucleus of the vagus,Mouse,PM42203107,29,18,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
164,LPBN,lateral parabrachial nucleus,Mouse,PM41314276,29,17,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
165,MCC,midcingulate cortex,Mouse,PM41840687,29,7,ambiguous,flash,medium,0.5667,"Midcingulate cortex is borderline mesocortex/isocortex; conventional usage varies. | Midcingulate is borderline mesocortex/neocortex; unclear without more info. | Midcingulate cortex (MCC) is a mesocortical area; borderline between isocortex and allocortex, so cannot confidently assign as neocortex or non_neocortex.",cortical,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,Midcingulate cortex is borderline mesocortex/isocortex; conventional usage varies.,Midcingulate is borderline mesocortex/neocortex; unclear without more info.,"Midcingulate cortex (MCC) is a mesocortical area; borderline between isocortex and allocortex, so cannot confidently assign as neocortex or non_neocortex.",,,
166,PN,pyramidal neurons,Mouse,PM37366393,29,16,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
167,SSp,primary somatosensory cortex,Mouse,PM38712231,29,15,neocortex,flash,high,0.95,Primary somatosensory cortex (SSp) is clearly isocortex. | Primary somatosensory cortex is classic neocortex. | Primary somatosensory cortex (SSp) is a clear neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Primary somatosensory cortex (SSp) is clearly isocortex.,Primary somatosensory cortex is classic neocortex.,Primary somatosensory cortex (SSp) is a clear neocortical area.,,,
